Name,Price,Location,Description
iphone 6 PTA Prove 64GB,"Rs 12,000","Jaranwala, Faisalabad","Iphone 6 Pata 
64GB
Battery health 100
panel ma note ha 
location Jaranwala 
Fingerprint not work but Home button working ma ha"
iphone 6s pta approve,"Rs 23,000","Allama Iqbal Town, Lahore","iphone 6s 
pta approve
all ok"
iphone 6s PTA approved 64gb urgent sale please only call thanks,"Rs 15,000","Sialkot Road, Gujranwala",iphone 6s PTA approved 64gb all ok ha only button not working baki all ok jis bhai ny lena ho bas wahi rabta kary serious buyers contact thanks
iphone 6s,"Rs 10,000","Chauburji Park Road, Lahore","Aoa
iphone 6s hai
battery charge hai 
ios 15 hai
bypass hai
panal original hai
64gb
finger home waking"
iphone 6plus 64 gb bipass,"Rs 7,000","Banth, Gujrat",good camera full ok battery health 80 screen pr black spot he baki ok he
iphone 6s plus 64Gb non pta,"Rs 12,999","Gulzar E Ahbab Society, Lahore",iPhone 6s plus 64gb non pta original total dout ha chota sa dark mode ma nazar ni ata 78 heath ha all oky set ha urgent sale
iPhone 6s non pta,"Rs 4,500","Johar Town, Lahore","32gb 
finger off panel touch not working but panel is Orignal 10 by 10 condition"
iPhone 6s | Non PTA,"Rs 11,500","Old Civil Lines, Sargodha","iPhone 6s Non PTA
64 GB memory
Battery health 86% (original battery)
Everything original and everything ok
10/10 Condition
If anyone interested please contact"
iPhone 6s 32gb non pta panel dead bettry service pay han,"Rs 5,000","Rehmanpura (Ferozpur Road), Lahore",iPhone 6s 32gb non pta panel dead and bettry service pay han baki all OK han condition 10/9
iphone 6S plus,"Rs 13,000","Awan Town, Lahore",iphone 6s plus 64Gb  Non PTA All okay camara front back dono best ha phone wese he best ha bhut zada battery timing har layaz sy bhut acha battery original ha phone ki 78 heath phone totally genuine ha only on issue screen main dout ha chota sa or wo dark mode main nazar ni ata touch best ha working mian koi issue ni ha paiso ki zoraat ha islia sale kar rha hun finger botton ringer all okay
iphone 6   64gb non pta condition 10/10 betri sarvice,"Rs 10,000","Korangi, Karachi",urjent sale need cash
iPhone 6 storage 128gb all ok non pta,"Rs 7,200","Nighabanpura, Faisalabad","iPhone 6 non pta
storage 128gb
finger print all ok
battery all ok
pura phone Ki condition good ha
condition 10/8
urgent sale serious buyer only contact"
iPhone 6s Plus 64gb for sale pta approved,"Rs 18,000","Sabzazar, Lahore",condition 8/10 panel change or battery change all ok no issue only serious buyers contact me on whatsapp.
Iphone 6s 64gb with box,"Rs 8,000","Navy Housing Scheme Karsaz, Karachi","All okay 
Pta approved 
sim not working
basement ic main 2000 tk repaireable then sim will work"
Iphone 6s 64 gb PTA Approved,"Rs 15,000","Gulberg 3, Lahore",iphone 6s 64 gb PTA Approved 10/10 condition koi fault ni hai sab Kuch original hai Sirf battery change hai with original box
iphone6,"Rs 8,500","Fatima Jinnah Town, Multan",iphone 6 10 10 condition only 7 days used jv 2 month sim working touch working
IPhone 6s plus 128 GB only WhatsApp number03274272410,"Rs 8,000","Thanda Pani, Islamabad",IPhone 6s Plus 128 GB PTA approved urgent for sale
iPhone 6s read ad,"Rs 6,000","Bahria Town, Lahore","iPhone 6s in good condition only motherboard not working,other parts such as fingerprint,cameras,lcd e. t. c. are all working Battery is brand new, I bought it for the phone but then discovered that it was not a better issue but the motherboard was causing the problem and the battery is very powerful 2380 mah. only serious buyers contact please. JazakAllah"
iphone 6 Non Pta memory 64Gb condition 10 by 10 urgent sale,"Rs 9,000","Alipur Farash, Islamabad",Iphone 6 Non Pta memory 64Gb condition 10 by 10 Fingers lock and touch screen all done Edding option availab contact my WhatsApp number(View phone number)
Iphone 6s,"Rs 10,000","Clifton, Karachi","All ok non pta 
64 gb 
all good"
iphon 6plus 64GB Rom used mobile,"Rs 15,000","Kecheri Road, Abbottabad",Apple iPhone 6plus LCD Shade
iphone 6 jv,"Rs 7,000","Kacheri Road, Multan","USA fresh stock 
original Pannel
original housing 
original battery 
every thing is working 
10/10 condition 
mix batteries health 100,80,75,70,65
Memory price 
16gb 7000
64gb 9000
128gb 11000
contact on wattsapp 
0
3
0
6
8
3
9
4
0
7
0"
iPhone 6s plus,"Rs 21,999","Gulistan-e-Jauhar Block 7, Karachi","iPhone 6s plus
Storage 64gb
PTA approved official
Factory unlocked
iCloud clear
Touch id, home button and ringer working perfectly
condition 10/9
Everything is original never repaired
Battery changed but replaced by Ronin official 
best battery timing
Battery health 100
Contact whatsapp
Exchange possible with iphone only I’ll pay the difference
price negotiable"
